id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
640165777513306032,Attic with private terrace on Florence,236323602,Vittoria,,Centro Storico,43.77344221200788,11.243178262723797,Entire home/apt,159,1,0,,,2,255,0,
640262314685549769,La Piccola Leopolda,82056457,Cecilia,,Centro Storico,43.7813,11.23319,Entire home/apt,75,3,0,,,1,157,0,
644052205889551433,Suspense apartment,463038902,Adilia,,Isolotto Legnaia,43.77232948863987,11.232501968810555,Entire home/apt,282,2,0,,,1,86,0,
640274728584547238,Santa reparata APT,17730978,Tommaso,,Centro Storico,43.7786301,11.2563202,Entire home/apt,94,1,0,,,9,144,0,048017LTI7316
22565674,La Vecchia Cantina for 4 persons.,161551313,Alessandra - Interhome Group,,Gavinana Galluzzo,43.72675,11.28295,Entire home/apt,15,1,1,2018-04-17,0.02,27,293,0,
644082818025683248,URBAN LOFT IN FLORENCE,362343373,Silvia,,Rifredi,43.784751337392876,11.254562222710874,Entire home/apt,218,2,0,,,1,340,0,
7552709,HOLIDAY IN COUNTRY SIDE OF FLORENCE,39569530,Nicola,,Gavinana Galluzzo,43.7457,11.33285,Entire home/apt,183,2,1,2017-08-18,0.02,1,99,0,
640326858170722192,GHIBELLINA 65 APT 2,707707,Monika,,Centro Storico,43.7696056,11.2643812,Entire home/apt,149,1,0,,,19,128,0,
644085221718464536,Dragomanni Loft with garden,65222778,Apartments_Florence,,Centro Storico,43.765769689000834,11.252186362642059,Entire home/apt,212,3,0,,,39,327,0,
644203229266693305,Luxury apartment in via di saponai,2439076,Edo & Rita,,Centro Storico,43.76787062760214,11.258211573377036,Entire home/apt,346,2,0,,,8,40,0,
640407080772875189,Luxury 3 Bed Apt in the Heart of the Oltrano,462199956,Carl,,Centro Storico,43.76728417523362,11.248774206201645,Entire home/apt,627,2,0,,,1,355,0,
51988367,Casa Dino,338724898,Lorenzo,,Rifredi,43.7983,11.14825,Entire home/apt,35,5,1,2021-10-18,0.13,1,284,1,
644578443497339430,Posti letto a due passi dal Firenze Rocks,43359353,Antonio,,Isolotto Legnaia,43.778282,11.2092538,Private room,100,1,0,,,1,359,0,
189481,I PARIGI Family room 2+2,913356,Marco,,Gavinana Galluzzo,43.72937,11.23281,Private room,175,2,1,2017-05-29,0.02,2,249,0,
640435229797918835,Appartamento vicino al centro con garage,120589753,Domenico,,Centro Storico,43.78211,11.23542,Entire home/apt,80,1,0,,,1,20,0,
644643881949021824,Camera privata con terrazza,463185554,Barbara,,Centro Storico,43.778729700922426,11.243602898543436,Private room,44,2,0,,,1,18,0,
640481455176668727,Florentine Nobility's House,167910523,Elisa,,Centro Storico,43.7676698564364,11.257103495299816,Entire home/apt,297,2,0,,,1,164,0,
644652025666080365,Pinti Patio Apartment,3314526,Alessandro,,Centro Storico,43.77263574062171,11.263689983043829,Entire home/apt,209,2,0,,,39,354,0,
640593902716534051,TERRACE VIEW FLORENCE APARTMENT,16651502,Stefania,,Centro Storico,43.7626014,11.2717168,Entire home/apt,223,2,0,,,15,174,0,
640927878508926605,Apt in villa storica,17730978,Tommaso,,Campo di Marte,43.78641289999999,11.275208,Entire home/apt,80,1,0,,,9,130,0,
640936996016363032,Attico in villa storica,17730978,Tommaso,,Campo di Marte,43.78641289999999,11.275208,Entire home/apt,80,1,0,,,9,130,0,
